crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank
RESEAUTEL SAS,5410 ANCIENNE ROUTE NATIONALE 6,69380,LISSIEU,84018129100013,0.7037431597709656,TC LISSIEU,CHEMIN DES FAVIERES,LISSIEU,69380,69117,5
RESIDENCE ALBERT CAMUS,23 Rue Victor de Laprade,69008,LYON,45204013200014,0.9971314668655396,RESIDENCE ALBERT THOMAS,82 RUE FEUILLAT,LYON,69008,69388,1
RESIDENCE ALBERT CAMUS,23 Rue Victor de Laprade,69008,LYON,90925229800015,0.9936674237251282,SIRET 90925229800015,23 RUE VICTOR DE LAPRADE,LYON,69008,69388,2
RESIDENCE ALBERT CAMUS,23 Rue Victor de Laprade,69008,LYON,81374764900016,0.9936674237251282,SIRET 81374764900016,23 RUE VICTOR DE LAPRADE,LYON,69008,69388,3
RESIDENCE ALBERT CAMUS,23 Rue Victor de Laprade,69008,LYON,77991089200032,0.9928460717201233,SIEGE ASSOC BON ACCUEIL,23 RUE VICTOR DE LAPRADE,LYON,69008,69388,4
RESIDENCE ALBERT CAMUS,23 Rue Victor de Laprade,69008,LYON,82448136000017,0.855696976184845,ASSOCIATION ALBERT LAURENT,160 RUE CHALLEMEL LACOUR,LYON,69008,69388,5
RESIDENCE BONIN,15 AVENUE JEAN CAGNE,69200,VENISSIEUX,98835954300010,0.9936674237251282,SIRET 98835954300010,15 AVENUE JEAN CAGNE,VENISSIEUX,69200,69259,1
RESIDENCE BONIN,15 AVENUE JEAN CAGNE,69200,VENISSIEUX,26691017300209,0.8217116594314575,ACCUEIL DE JOUR MEDICALISE LUDOVIC BONIN,15 AVENUE JEAN CAGNE,VENISSIEUX,69200,69259,2
RESIDENCE BONIN,15 AVENUE JEAN CAGNE,69200,VENISSIEUX,90511166200011,0.7907301783561707,SIRET 90511166200011,5 AVENUE JEAN CAGNE,VENISSIEUX,69200,69259,3
RESIDENCE BONIN,15 AVENUE JEAN CAGNE,69200,VENISSIEUX,81094459500018,0.7907301783561707,SIRET 81094459500018,5 AVENUE JEAN CAGNE,VENISSIEUX,69200,69259,4
RESIDENCE BONIN,15 AVENUE JEAN CAGNE,69200,VENISSIEUX,98835974100010,0.711384117603302,SIRET 98835974100010,13 AVENUE JEAN CAGNE,VENISSIEUX,69200,69259,5
RESIDENCE EASTLODGE,17 Rue de la Cordière,69800,SAINT-PRIEST,88390691900039,0.9958986639976501,SIRET 88390691900039,17 RUE DE LA CORDIERE,SAINT-PRIEST,69800,69290,1
RESIDENCE EASTLODGE,17 Rue de la Cordière,69800,SAINT-PRIEST,99436969200011,0.9936674237251282,SIRET 99436969200011,17 RUE DE LA CORDIERE,SAINT-PRIEST,69800,69290,2
RESIDENCE EASTLODGE,17 Rue de la Cordière,69800,SAINT-PRIEST,98888615600013,0.9936674237251282,SIRET 98888615600013,17 RUE DE LA CORDIERE,SAINT-PRIEST,69800,69290,3
RESIDENCE EASTLODGE,17 Rue de la Cordière,69800,SAINT-PRIEST,51070077600196,0.9934296011924744,EASTLODGE,17 RUE DE LA CORDIERE,SAINT-PRIEST,69800,69290,4
RESIDENCE EASTLODGE,17 Rue de la Cordière,69800,SAINT-PRIEST,98752272900019,0.8847468495368958,ORTEGA PEREZ / DELORME,17 RUE DE LA CORDIERE,SAINT-PRIEST,69800,69290,5
RESIDENCE HOTELIERE ET DE TOUR,81 Rue Victor Hugo,69330,MEYZIEU,52252340600026,0.9982799291610718,CAMPING DU GRAND LARGE,81 RUE VICTOR HUGO,MEYZIEU,69330,69282,1
