crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank
Pramana (Agence de Lyon),1 Rue Alexandre Luigini,69001,LYON,84481791600035,0.29597675800323486,AMODIS,1 RUE D'ALGERIE,LYON,69001,69381,3
Pramana (Agence de Lyon),1 Rue Alexandre Luigini,69001,LYON,50138650200022,0.22820988297462463,LA MOBILE AFFAIRE,1 RUE AUDRAN,LYON,69001,69381,4
Pramana (Agence de Lyon),1 Rue Alexandre Luigini,69001,LYON,82477680100014,0.2146015465259552,SMALA GANZA,1 RUE COYSEVOX,LYON,69001,69381,5
Premiere Classe Lyon Est,"28, Rue Monseigneur Ancel",69800,ST PRIEST,79068444300027,0.7902204990386963,1ERE CLASSE,28 RUE MONSEIGNEUR ANCEL,SAINT-PRIEST,69800,69290,1
Premiere Classe Lyon Est,"28, Rue Monseigneur Ancel",69800,ST PRIEST,91910612000018,0.7688646912574768,YOUTH STATION ASSOCIATION LYON,15 RUE MICHEL PETRUCCIANI,SAINT-PRIEST,69800,69290,2
Premiere Classe Lyon Est,"28, Rue Monseigneur Ancel",69800,ST PRIEST,53862482600011,0.6682392358779907,"FNATH, ASSOCIATION DES ACCIDENTES DE LA VIE, FNATH SECTION DE ST PRIEST ET COMMUNES DU SUD EST",5 RUE LAURENT BONNEVAY,SAINT-PRIEST,69800,69290,3
Premiere Classe Lyon Est,"28, Rue Monseigneur Ancel",69800,ST PRIEST,32849847200088,0.5455373525619507,YASKAWA FRANCE,RUE MONSEIGNEUR ANCEL,SAINT-PRIEST,69800,69290,4
Premiere Classe Lyon Est,"28, Rue Monseigneur Ancel",69800,ST PRIEST,92187299000020,0.41099977493286133,LYON EST SANTE,140 RUE ANDRE LWOFF,SAINT-PRIEST,69800,69290,5
ProgressivIT,5 Chemin du Tronchon,69570,DARDILLY,74990748100032,0.9909890294075012,PROGRESSIV IT,5 CHEMIN DU TRONCHON,DARDILLY,69570,69072,1
ProgressivIT,5 Chemin du Tronchon,69570,DARDILLY,50081319100029,0.9899457097053528,PROPAYE,5 CHEMIN DU JUBIN,DARDILLY,69570,69072,2
ProgressivIT,5 Chemin du Tronchon,69570,DARDILLY,52501963400043,0.9826529026031494,MAISONS MARGAUX,5 CHEMIN DU TRONCHON,DARDILLY,69570,69072,3
ProgressivIT,5 Chemin du Tronchon,69570,DARDILLY,92044165600013,0.9804978370666504,HORIZON,5 CHEMIN DU TRONCHON,DARDILLY,69570,69072,4
