crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,candidate_state,candidate_last_treatment_date,rank,shap
AGE CORBAS,4 rue du Mont Blanc,69960,CORBAS,92437886200115,0.9729483723640442,MC2A,4 RUE DU MONT BLANC,CORBAS,69960,69273,OUVERT,2024-12-21 05:27:54,3,
AGE CORBAS,4 rue du Mont Blanc,69960,CORBAS,77984304400503,0.9582021832466125,AGEMETRA,4 RUE DU MONT BLANC,CORBAS,69960,69273,FERME,2025-02-03 15:32:17,4,
AGE CORBAS,4 rue du Mont Blanc,69960,CORBAS,77984304400503,0.9582021832466125,AGEMETRA,4 RUE DU MONT BLANC,CORBAS,69960,69273,FERME,2025-02-03 15:32:17,4,
AGE CORBAS,4 rue du Mont Blanc,69960,CORBAS,85299724600024,0.9487712979316711,SM2G,4 RUE DU MONT BLANC,CORBAS,69960,69273,OUVERT,2024-03-30 12:09:22,5,
AGE CORBAS,4 rue du Mont Blanc,69960,CORBAS,85299724600024,0.9487712979316711,SM2G,4 RUE DU MONT BLANC,CORBAS,69960,69273,OUVERT,2024-03-30 12:09:22,5,
ALL IN ACADEMY,13 RUE MARCEAU,69150,DECINES CHARPIEU,90186658200025,0.999537467956543,ALL IN ACADEMY DECINES,13 RUE MARCEAU,DECINES-CHARPIEU,69150,69275,OUVERT,2025-06-24 13:47:11,1,
ALL IN ACADEMY,13 RUE MARCEAU,69150,DECINES CHARPIEU,92326934400027,0.997692346572876,ALL IN SCHOOL,13 RUE MARCEAU,DECINES-CHARPIEU,69150,69275,OUVERT,2024-11-22 05:23:35,2,
ALL IN ACADEMY,13 RUE MARCEAU,69150,DECINES CHARPIEU,92229667800027,0.9960785508155823,ALL IN STORE,13 RUE MARCEAU,DECINES-CHARPIEU,69150,69275,OUVERT,2025-09-17 16:56:38,3,
ALL IN ACADEMY,13 RUE MARCEAU,69150,DECINES CHARPIEU,92971940900013,0.9960307478904724,ALL IN ARENA,13 RUE MARCEAU,DECINES-CHARPIEU,69150,69275,OUVERT,2024-06-11 14:18:21,4,
ALL IN ACADEMY,13 RUE MARCEAU,69150,DECINES CHARPIEU,92169061600021,0.9945857524871826,ALL IN GROUP,13 RUE MARCEAU,DECINES-CHARPIEU,69150,69275,OUVERT,2025-01-22 02:29:56,5,
