selection_ordinal,query_id,crm_name,crm_address,crm_postcode,crm_city
1,344,COLLEGE LELORGNE DE SAVIGNY - PROVINS,1 RUE DE SAVIGNY VILLE HAUTE,77160,PROVINS
2,410,COLLEGE SAINT LOUIS - LIEUSAINT,124 MAIL DES PEPINIERES,77127,LIEUSAINT
3,896,CCI Avon,1 Rue du Port de Valvins,77210,AVON
4,1073,LFB BIOMANUFACTURING,AVENUE DES CHENES ROUGES,30100,ALES
5,1140,LG ALES AUTOMOBILES,157 Chemin du Mas de la Bedosse,30100,ALES
