crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type
TEXA MARSEILLE;13011;13211;FR041363;Marseille;34181023201385;20 Voie sans nom sans nom vallee verte prolongee - Bourbon 2 - 1er étage;Marseille;13211;13011;A;insee
Ceva FM;13002;13202;;Marseille;43144277100728;14 Rue d'anthoine;Marseille;13202;13002;A;insee
VIVASON MARSEILLE;13006;13206;;Marseille;50418950700271;10 Boulevard baille;Marseille;13206;13006;A;insee
GRAND PORT MARITIME DE MARSEILLE;13002;13202;FR033363;MARSEILLE 2EME ARRONDISSE;77555848900016;23 place DE LA JOLIETTE;MARSEILLE 2EME ARRONDISSE;13202;13002;A;insee
MED MARSEILLE;13009;13209;FR035076;MARSEILLE 9EME ARRONDISSE;77555835600033;344 BOULEVARD MICHELET;MARSEILLE 9EME ARRONDISSE;13209;13009;A;insee
NAXCO SERVICES - NEW YANG MING FRANCE   MARSEILLE;13002;13202;FR035579;Marseille;38070388400177;79 Boulevard de dunkerque;Marseille;13202;13002;F;insee
OREXAD BRAMMER ORX-13_26;13500;13056;FR036583;MARTIGUES;32095539602583;25 AVENUE DE JOSE NOBRE;MARTIGUES;13056;13500;A;insee
GROUPE ISERBA-AUBAGNE - nouveau site;13400;13005;FR038177;AUBAGNE;79379728300314;11 Traverse de la Bastidonne bâtiment 7 TECH. BASTIDONE LOCATEL;AUBAGNE;13005;13400;A;insee
ETS PUB FONCIER P.A.C.A;13001;13201;FR038598;Marseille;44164922500022;1 Rue papere;Marseille;13201;13001;A;insee
VALGO- V13 VITROLLES;13127;13117;FR040158;VITROLLES;45397583100224;30-32 RUE D ATHENES;VITROLLES;13117;13127;A;insee
ERAS-AGENCE DE MARSEILLE;13002;13202;FR041381;Marseille;38130763600401;7 Rue francois moisson;Marseille;13202;13002;A;insee
INFODESCA - 0609 DP MARTIGUES;13500;13056;FR041551;MARTIGUES;31227417800085;23 Avenue Lascos;MARTIGUES;13056;13117;F;insee
INFODESCA 0015 DP FOS MER;13270;13039;AC019614;Fos-sur-Mer;42500921400031;78 Zone Industrielle la Feuillane;Fos-sur-Mer;13039;13270;A;insee
XPO IT EUROPE PORC1;13110;13077;FR042103;PORT DE BOUC;32301676600707;BOULEVARD DE L ENGRENIER;PORT DE BOUC;13077;13110;A;insee
XPO IT EUROPE MARE1;13700;13054;FR042115;Marignane;49333944400116;AEROPORT MARSEILLE PROVENCE;Marignane;13054;13700;A;insee
NAXCO SERVICES-VITROLLES ATHENES 4;13127;13117;;VITROLLES;34398256700491;4 Rue d'Athenes;VITROLLES;13117;13127;A;insee
CENTRE SOCIAL LA FARANDOLE;13800;13047;AC019314;ISTRES;30570850500022;2 Allée des Echoppes;ISTRES;13047;13800;A;insee
SASU DPM DISTRIBUTION MARSEILLE;13015;13215;AC019669;MARSEILLE 15EME ARRONDISS;85312305700020;11 AV DE ST ANTOINE ZAC St Andre CC Grand Littoral;MARSEILLE 15EME ARRONDISS;13215;13015;A;insee
SAS FRAMATEQ;13127;13117;FR038723;VITROLLES;79450374800012;16bis Avenue de Rome;VITROLLES;13117;13127;A;insee
MAISON DE L'ORTHOPEDIE;13011;13211;AC019650;Marseille;44225312600019;227 Route des 3 lucs;Marseille;13211;13011;A;insee
SODIT;13014;13214;FR042004;Marseille;06180558600049;8 Boulevard frederic sauvage;Marseille;13214;13014;A;insee
SAS KASAMIA;13001;13201;FR039729;Marseille;88491361700020;Cours honore d'estienne d'orves;Marseille;13201;13001;A;insee
ECOTRA LOGISTICS;13014;13214;FR042051;Marseille;49144621700052;24 Boulevard gay lussac;Marseille;13214;13014;A;insee
SINTO;13400;13005;FR037399;AUBAGNE;41030903300026;170 Avenue des Templiers;AUBAGNE;13005;13400;A;insee
GROUP SPECIALISTES MEDICAUX VITROLLES;13127;13117;FR037103;VITROLLES;34414965300018;0 Arcade des Abbayes;VITROLLES;13117;13127;A;insee
CAMPANILE MARSEILLE - Saint Antoine;13015;13215;FR034954;MARSEILLE 15EME ARRONDISS;34515364700010;59, AVENUE ANNE MARIE;MARSEILLE 15EME ARRONDISS;13215;13015;A;insee
HOTEL VILLA MASSALIA;13008;13208;FR039201;MARSEILLE 8EME ARRONDISSE;98179708700021;17, PLACE LOUIS BONNEFON;MARSEILLE 8EME ARRONDISSE;13208;13008;A;insee
SCP BOLLET;13016;13216;FR039473;Marseille;32748912600026;4 Rue gaston castel;Marseille;13216;13016;A;insee
ATORI CONSEIL;13008;13208;FR040172;Marseille;88889314600017;13 Avenue frederic mistral;Marseille;13208;13008;A;insee
CFA du Bâtiment Marseille;13011;13211;;Marseille;78285946600032;22 Impasse de la montre;Marseille;13211;13011;A;insee
MIDI VOLAILLES;13340;13081;FR039185;Rognac;39855100200064;229 Rue Andre Ampere;Rognac;13081;13340;A;insee
CAP ELAN FORMATION;13007;13207;FR036553;Marseille;80106424700035;84 Boulevard de la corderie;Marseille;13207;13007;A;insee
AMCD NOTAIRES;13008;13208;FR037603;Marseille;90117495300017;305 Avenue du prado;Marseille;13208;13008;A;insee
