crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type
LOGIDOME;63000;63113;FO900412;CLERMONT FERRAND;38537325300025;14 Rue Buffon;CLERMONT FERRAND;63113;63000;F;insee
Site de la Marina (Port de Plaisance);59140;59183;FR039959;DUNKERQUE;24590042800013;471 Avenue des Bancs de Flandres;DUNKERQUE;59183;59140;A;insee
DSI Dunkerque;59140;59183;FO008155;DUNKERQUE;20002715900017;Ruelle aux Pommes;DUNKERQUE;59183;59140;A;insee
LE CHATEAU COQUELLE;59240;59183;FR018399;DUNKERQUE;78360435800029;Rue de Belfort;DUNKERQUE;59183;59240;A;insee
TERRE NEUVE (STUDIO 43);59140;59183;FR018400;DUNKERQUE;78360409300022;Pôle Marine Rue des fusiliers marins;DUNKERQUE;59183;59140;A;insee
Nouveau ponton quai Sainte Marie Chalon sur Saône;71100;71076;FO007924;CHALON SUR SAONE;21710076700011;Quai Sainte Marie;CHALON SUR SAONE;71076;71100;A;insee
LES 4 ECLUSES;59140;59183;FR018401;DUNKERQUE;38776278400024;Îlot des 4 Ecluses 1, rue de la Cunette;DUNKERQUE;59183;59140;A;insee
IFREMER;44000;44109;FO002453;NANTES;33071536800107;RUE L'ILE D'YEU;NANTES;44109;44300;A;insee
SEMITAN - DIRECTION;44000;44109;FR003870;NANTES;31468496000045;3 RUE BELLIER;NANTES;44109;44000;A;insee
PREFECTURE DE MELUN;77000;77288;FR004798;Melun;17770001000016;12 avenue des Saint Pères;Melun;77288;77000;A;insee
SDIS DE MELUN;77000;77288;FR004799;Melun;28770831700014;56 avenue de Corbeille;Melun;77288;77000;A;insee
CG77-HÔTEL DU DÉPARTEMENT BAT A;77000;77288;FR017913;Melun;22770001000019;12 RUE DES SAINTS PÈRES BAT A;Melun;77288;77000;A;insee
SDIS KLEBER;54270;54184;SF000402;ESSEY LES NANCY;28540001600033;46 Rue du 8 Mai 1945;ESSEY LES NANCY;54184;54270;A;insee
SERVICE DEPARTEMENTAL D'INCENDIE ET SECOURS;44240;44035;FO002825;CHAPELLE SUR ERDRE;28440001700018;12 RUE ARAGO;CHAPELLE SUR ERDRE;44035;44240;A;insee
CENTRE DE SECOURS NANTES (NORD);44700;44114;FO002827;ORVAULT;21440114300018;BOULEVARD RENÉ CASSIN;ORVAULT;44114;44700;A;insee
AGENCE GOUDY;44000;44109;FR003607;NANTES;27440002700125;8 RUE GABRIEL GOUDY;NANTES;44109;44200;A;insee
AGENCE BOTTIERE;44000;44109;FR003596;NANTES;27440002700133;82 RUE DE LA BOTTIÈRE;NANTES;44109;44300;A;insee
AGENCE CARTIER;44000;44109;FR003598;NANTES;27440002700117;7 RUE JACQUES CARTIER;NANTES;44109;44300;A;insee
AGENCE JAMET;44000;44109;FR003610;NANTES;27440002700091;8 RUE DU JAMET;NANTES;44109;44100;A;insee
Agence Watteau;44000;44109;FR006901;NANTES;27440002700083;20, rue Antoine Watteau;NANTES;44109;44100;A;insee
Agence MALAKOFF;44000;44109;FR005454;NANTES;27440002700018;BOULEVARD DE BERLIN;NANTES;44109;44000;F;insee
AGENCE FEYDER;44000;44109;FR003602;NANTES;27440002700158;6 RUE JACQUES FEYDER;NANTES;44109;44100;A;insee
ETIER NANTES HABITAT;44000;44109;FR004919;NANTES;75196902300017;64 rue de l'Etier;NANTES;44109;44000;F;insee
agence EINSTEIN;44000;44109;FR037452;NANTES;27440002700307;190 Avenue Louis De Broglie, Bât A;NANTES;44109;44000;A;insee
LABORIT CMP GAY LUSSAC;86000;86194;FO005959;POITIERS;26860002000690;14 rue GAY LUSSAC;POITIERS;86194;86000;A;insee
CH LABORIT SIEGE;86000;86194;FO005804;POITIERS;26860002000013;370 AV JACQUES COEUR;POITIERS;86194;86000;A;insee
CHU Amiens Sud;80000;80021;FO007815;AMIENS;26800014800018;1 Rond Point du Pr Christian Cabrol;AMIENS;80021;80080;F;insee
NOUVEAU SITE CH W. MOREY;71100;71076;FO003167;CHALON SUR SAONE;26710076600109;LES PRES DEVANT;CHALON SUR SAONE;71076;71100;A;insee
IFSI Chalon;71100;71076;FR019479;CHALON SUR SAONE;26710076600117;141 Avenue Boucicaut;CHALON SUR SAONE;71076;71100;F;insee
RESIDENCE ESQUILIN;71100;71076;SF000690;CHALON SUR SAONE;26710052700345;5 Rue Colette;CHALON SUR SAONE;71076;71100;A;insee
Résidence Béduneau;71100;71076;SF000688;CHALON SUR SAONE;26710052700055;10 rempart Sainte Marie;CHALON SUR SAONE;71076;71100;A;insee
CHS SEVREY;71100;71520;FO008662;SEVREY;26710044400012;RUE AUGUSTE CHAMPION;SEVREY;71520;71100;A;insee
DSII;69500;69029;FO005675;BRON;26690027300258;61 boulevard Pïnel;BRON;69029;69500;A;insee
Groupement Hospitalier Est;69500;69029;FO005700;LYON 1ER ARRONDISSEMENT;26690027300969;61 boulevard Pinel;LYON 1ER ARRONDISSEMENT;69029;69500;A;cp_only
Hôpital Edouard Herriot;69003;69383;FO005703;LYON 3E ARRONDISSEMENT;26690027300217;5 place d'Arsonval;LYON 3E ARRONDISSEMENT;69383;69003;A;insee
UCPA/Sterilisation Centrale;69800;69290;FO005709;ST PRIEST;26690027301033;1060 rue Nicéphore Niepce;ST PRIEST;69290;69800;A;insee
Hôpital Croix Rousse;69004;69384;FO006060;LYON 4E ARRONDISSEMENT;26690027300100;10 Grande rue de la Croix Rousse;LYON 4E ARRONDISSEMENT;69384;69004;A;insee
Hôpital Pierre Garraud;69005;69385;FO007729;LYON 5EME ARRONDISSEMENT;26690027300316;136 Rue Commandant Charcot,;LYON 5EME ARRONDISSEMENT;69385;69005;A;insee
Centre Hospitalier Sainte Foy;69110;69202;FO007730;STE FOY LES LYON;26690020800015;78 chemin de Montray;STE FOY LES LYON;69202;69110;A;insee
centre Dentaire HCL;69007;69387;FO007731;LYON 7EME ARRONDISSEMENT;26690027300274;8 place Deperet;LYON 7EME ARRONDISSEMENT;69387;69007;A;insee
Pharmacie Centrale;69230;69204;FO007946;ST GENIS LAVAL;26690027300720;57 rue Francisque Darcieu;ST GENIS LAVAL;69204;69230;A;insee
CHU Gabriel Montpied;63000;63113;FO007343;CLERMONT FERRAND;26630746100019;58 rue Montalembert;CLERMONT FERRAND;63113;63000;A;insee
Ehpad Yvon Duval;59210;59155;FR015942;COUDEKERQUE BRANCHE;26590155300072;139 rue du Boernhol;COUDEKERQUE BRANCHE;59155;59210;A;insee
Foyer Logement Paul Schrive;59210;59155;FR015943;COUDEKERQUE BRANCHE;26590155300098;22 rue Seurat;COUDEKERQUE BRANCHE;59155;59210;A;insee
Centre de soins Infirmiers;59210;59155;FR029632;COUDEKERQUE BRANCHE;21590155400018;22 Rue Louis Pasteur;COUDEKERQUE BRANCHE;59155;59210;A;insee
CENTRE HOSPITALIER UNIVERSITAIRE;44000;44109;FO002995;NANTES;26440013600471;1 PLACE ALEXIS RICORDEAU;NANTES;44109;44000;A;insee
CLINIQUE SAINT AUGUSTIN;44000;44109;FO050003;NANTES;32927458300015;RUE PAUL BELLAMY;NANTES;44109;44000;F;insee
CH BEZIERS MONTIMARAN;34500;34032;FO005481;BEZIERS;26340011100013;Rue Valentin Hauy;BEZIERS;34032;34500;A;insee
Interco de Bayeux;14400;14047;FO006454;BAYEUX;24140055500140;GPS=49.28011, -0.70693;BAYEUX;14047;14400;A;insee
CHANTIER INSERTION CITADELLE;80000;80021;FO005197;AMIENS;79416062200013;Impasse des Martyrs;AMIENS;80021;80000;F;insee
BIBLIOTHEQUE MUNICIPALE LOUIS ARAGON AMIENS;80000;80021;FR014416;AMIENS;25800436500049;Rue de la République;AMIENS;80021;80090;A;insee
COLLECTE SWITCH AM POP AMIENS GAMBETTA;80000;80021;FR014467;AMIENS;25800436500023;PL GAMBETTA;AMIENS;80021;80090;A;insee
COLLEGE SAGEBIEN;80000;80021;FR014513;AMIENS;19801437500010;Rue Sagebien;AMIENS;80021;80000;A;insee
RPC OISEMONT;80140;80606;FR014627;OISEMONT;21800573400049;5 bis, rue des Quarante;OISEMONT;80606;80140;A;insee
LIVRAISON GFU AM LOCAL SSI;80000;80021;FR014644;AMIENS;24800053100173;;AMIENS;80021;80000;A;insee
ZOO Amiens Administration;80000;80021;FR014715;AMIENS;34948744700014;Rue du faubourg de Hem;AMIENS;80021;80000;A;insee
ECOLE RIVERY;80136;80674;FR014731;RIVERY;21800634400012;Rue Baudrez;RIVERY;80674;80136;A;insee
STEP AMBONNE AMIENS;80730;80024;FR014780;ARGOEUVES;21800022200032;Route de Saint Sauflieu;ARGOEUVES;80024;80470;A;insee
COM2COM DU SUD OUEST AMIENOIS POIX-DE-PICARDIE;80290;80630;FR014860;POIX DE PICARDIE;20007118100016;16 bis RTE D AUMALE;POIX DE PICARDIE;80630;80290;A;insee
Mairie de Corbie;80800;80212;FR016009;CORBIE;21800204600017;1 Rue Faidherbe;CORBIE;80212;80800;A;insee
ECOLE ELEMENTAIRE ST PIERRE;80000;80021;FR016008;AMIENS;21800019800018;100 Chaussée St Pierre;AMIENS;80021;80000;A;insee
ECOLE VINCENSINI;80000;80021;FR016007;AMIENS;51790081700019;17 Chaussée St Pierre;AMIENS;80021;80080;A;insee
MAIRIE DE FRIVILLE ESCARBOTIN;80130;80368;FR015888;FRIVILLE ESCARBOTIN;21800353100017;50 Place Jean Jaurès;FRIVILLE ESCARBOTIN;80368;80130;A;insee
MAISON DE QUARTIER MONT ST QUENTIN;80200;80620;FR016636;PERONNE;21800585800012;8 rue Jules Ferry;PERONNE;80620;80200;A;insee
MDSI de MOREUIL;80110;80570;FR016672;MOREUIL;83084798400028;Rue Maurice Garin;MOREUIL;80570;80110;A;insee
SIEGE C2C du GRAND ROYE;80500;80561;FR016659;MONTDIDIER;20007097700018;Rue Pasteur;MONTDIDIER;80561;80500;A;insee
SERVICE TECHNIQUE CABS;80100;80001;FR016670;ABBEVILLE;20007099300015;Rue St Gille;ABBEVILLE;80001;80100;A;insee
SIEGE COM DE COM;80600;80253;FR016638;DOULLENS;20007095100013;2 Rue des Soeurs Grises;DOULLENS;80253;80600;A;insee
CDER de Villers Bocage;80260;80798;FR017751;VILLERS BOCAGE;21800749000012;38 rue du Château d'Eau;VILLERS BOCAGE;80798;80260;A;insee
HOTEL D'ENTREPRISES VILLERS-BRETONNEUX;80380;80799;FR017371;VILLERS BRETONNEUX;34909536400049;Chaussée du Val de Somme;VILLERS BRETONNEUX;80799;80800;A;insee
POLE SPORTIF LOUIS FAFET;80000;80021;FR017372;AMIENS;24800053100124;Rue d'Allonville;AMIENS;80021;80000;A;insee
STEP Jules Verne;80330;80489;FR018291;LONGUEAU;51889951300023;Rue Lucette Bonnard;LONGUEAU;80489;80330;A;insee
POP FRIANT;80000;80021;FO006759;AMIENS;80789760800012;Square des 4 chênes;AMIENS;80021;80000;F;insee
CENTRE AQUATIQUE DE HAM;80400;80410;FR019431;HAM;83174519500014;RUE VICTOR HUGO;HAM;80410;80400;A;insee
Mairie de VILLERS BRETONNEUX;80380;80799;FR019963;VILLERS BRETONNEUX;21800750800011;Place du général de Gaulle;VILLERS BRETONNEUX;80799;80800;A;insee
Siège de la C2C des Villes Soeurs;76260;76255;FR020645;EU;24760058800047;12 Avenue Jacques Anquetil;EU;76255;76260;A;insee
Ecole Alphonse Daudet;80300;80016;FR020743;ALBERT;21800014900011;Rue des Capucines;ALBERT;80016;80300;A;insee
SALLE AUDIARD;76260;76255;FR021231;EU;21760255600011;Ruelle Simechon;EU;76255;76260;A;insee
Hôtel de Ville de Le Tréport;76470;76711;FR021237;TREPORT;21760711800015;rue François Mittérand;TREPORT;76711;76470;A;insee
Caméra 1 Brie;80200;80141;FO009215;BRIE;21800134500014;;BRIE;80141;80200;A;insee
Lycée Polyvalent Les Bourdonnières;44000;44109;FO003171;NANTES;19441552700010;rue de la Perrière;NANTES;44109;44200;A;insee
PORT AUTONOME SIEGE;44000;44109;FO002979;NANTES;53346754400011;CENTRE DES SALORGES QUAI ERNEST RENAUD;NANTES;44109;44000;F;insee
DataCenter NeoCenter Ouest;44800;44162;FO002986;SAINT HERBLAIN;52349125600013;2 impasse Joséphine Baker;SAINT HERBLAIN;44162;44800;A;insee
Lycée Jules Rieffel;44800;44162;FO901159;SAINT HERBLAIN;19442061800010;5 Rue de la Syonnière;SAINT HERBLAIN;44162;44800;A;insee
GRAND PORT MARITIME;44000;44109;FO900769;NANTES;77560485300041;18 quai Ernest Renaud;NANTES;44109;44300;A;insee
LYCEE JULES VERNE;44000;44109;FO900872;NANTES;19441821600017;1 rue du général Meusnier;NANTES;44109;44000;F;insee
Lycée Alcide d'Orbigny;44830;44018;FR005796;BOUAYE;19442309100017;place Edit de Nantes;BOUAYE;44018;44830;A;insee
GRETA St Herblain;44800;44162;FO900228;SAINT HERBLAIN;19440034700044;30, Rue de la Dutée;SAINT HERBLAIN;44162;44800;F;insee
Lycée des Métiers Bougainville;44000;44109;FR006832;NANTES;19440036200019;2 rue Eugène le Roux;NANTES;44109;44100;A;insee
Lycée Jacques Cassard;44000;44109;FR006843;NANTES;19442313300017;111 rue du Port Boyer;NANTES;44109;44300;A;insee
Lycée Professionnel Jean Jacques Audubon;44220;44047;FR007366;COUERON;19440310100018;10 boulevard Paul Langevin;COUERON;44047;44220;A;insee
CHATEAU DES DUCS;44000;44109;FO003576;NANTES;47851845900019;4 PLACE MARC ELDER;NANTES;44109;44000;F;insee
Centre Hospitalier de Maubreuil;44800;44162;FR007646;SAINT HERBLAIN;26440053200034;31 Boulevard Salvador Allende;SAINT HERBLAIN;44162;44800;A;insee
Lycée Professionnel Pablo Neruda;44340;44020;FR008124;BOUGUENAIS;19441656600017;rue Pablo Neruda;BOUGUENAIS;44020;44340;A;insee
Ecole Centrale de Nantes;44000;44109;FO003815;NANTES;19440100600011;1 rue de la Noé;NANTES;44109;44300;A;insee
Lycée Professionnel Les Savarières;nan;44190;FR008564;SAINT SEBASTIEN SUR LOIRE;19440537900018;5 Avenue de Glinde;SAINT SEBASTIEN SUR LOIRE;44190;44230;A;insee
HOPITAL DE LA SEILLERAYE;44470;44026;FR004905;CARQUEFOU;53946919700013;La Seilleraye;CARQUEFOU;44026;44470;A;insee
Centre d'Addictologie (Espace Barbara);44000;44109;FR010256;NANTES;26440013600596;9 bis rue de Bouillé;NANTES;44109;44000;A;insee
CMP Ouest;44000;44109;FR010259;NANTES;26440013600513;16 Rue Lamoricière;NANTES;44109;44100;A;insee
Lycée de Carquefou (La Mainguais);44470;44026;FO004583;CARQUEFOU;20006486300018;16 rue de La Mainguais;CARQUEFOU;44026;44470;A;insee
Chambre des Métiers et de l'Artisanat;44980;44172;FO004655;SAINTE LUCE SUR LOIRE;13002068800029;5 allée des Liards;SAINTE LUCE SUR LOIRE;44172;44980;A;insee
CCI Nantes;44000;44109;FO005625;NANTES;13000810500012;Quai Ernest Renaud;NANTES;44109;44000;F;insee
EREA La Rivière;44000;44109;FR019100;NANTES;19440329100017;10 boulevard Albert Einstein;NANTES;44109;44300;A;insee
LOCOWEST;44840;44198;FR019314;SORINIERES;83287998500014;9 Rue du Progrès;SORINIERES;44198;44840;A;insee
HOPITAL SAINT JACQUES;44000;44109;FO006666;NANTES;26440013600026;85 RUE SAINT JACQUES;NANTES;44109;44200;A;insee
CH SEVRE ET LOIRE DE VERTOU;44120;44215;FR022889;VERTOU;26440306400092;1 Allée Alphonse Filion;VERTOU;44215;44120;A;insee
AUDENCIA (ECOLE COMMERCE);44000;44109;FR024299;NANTES;35152651200014;8 ROUTE DE LA JONELIÈRE;NANTES;44109;44300;F;insee
CHU DE NANTES - Site parking ile de Nantes;44000;44109;FR024301;NANTES;25440253000029;1 Rue du Tonkin;NANTES;44109;44200;A;insee
CATTP PSY1 Blanchard (CHU);44000;44109;FR024394;NANTES;26440013600638;79-81 Rue Joseph Blanchard;NANTES;44109;44100;A;insee
Le DAVA : Collège Libertaire RUTIGLIANO;44000;44109;FR027614;NANTES;19440283000013;60 Rue de l?Eraudière;NANTES;44109;44300;A;insee
HOTEL DE LA REGION;44000;44109;SF000031;NANTES;23440003400026;1, RUE DE LA LOIRE;NANTES;44109;44200;A;insee
Lycée la Colinière;44000;44109;FR028803;NANTES;19440086700017;129 Rue du Landreau, salle info local 19, 1ère étage;NANTES;44109;44300;A;insee
LYCEE ARAGO;44000;44109;FR028885;NANTES;19440033900025;23 RUE RECTEUR SCHMITT;NANTES;44109;44300;A;insee
Lycée Monge la Chauviniere;44000;44109;FR028888;NANTES;19440030500018;2 Rue de la Fantaisie;NANTES;44109;44300;A;insee
MISMO INFORMATIQUE;44240;44035;FR031101;La Chapelle-sur-Erdre;38818506800102;6 Rue du Tyrol;La Chapelle-sur-Erdre;44035;44240;A;insee
Cheops Technology;44240;44035;FR031102;CHAPELLE SUR ERDRE;41505068100220;10B rue de Laponie;CHAPELLE SUR ERDRE;44035;44240;A;insee
MAIRIE DE ST HERBLAIN;44800;44162;FR031409;ST HERBLAIN;21440162200011;2 RUE DE L'HÔTEL DE VILLE;ST HERBLAIN;44162;44800;A;insee
COLLEGE ANNE DE BRETAGNE;44800;44162;FR032628;SAINT HERBLAIN;19440016400027;36 allée de la Bourgonnière;SAINT HERBLAIN;44162;44800;A;insee
COLLEGE ARISTIDE BRIAND;44000;44109;FR032651;NANTES;19440049500017;19 rue Louis Blanc;NANTES;44109;44200;A;insee
COLLEGE BELLESTRE;44830;44018;FR032616;BOUAYE;19441858800019;62 rue du Stade;BOUAYE;44018;44830;A;insee
COLLEGE BLANCHE DE CASTILLE;44000;44109;FR032652;NANTES;33933424500034;43-45 Boulevard Jules Verne;NANTES;44109;44300;A;insee
COLLEGE CHANTENAY;44000;44109;FR032660;NANTES;19440023000018;62 Rue Amiral du Chaffault;NANTES;44109;44300;A;insee
COLLEGE CLAUDE DEBUSSY;44000;44109;FR032657;NANTES;19440286300014;1 rue du Doubs;NANTES;44109;44100;A;insee
COLLEGE DE BRETAGNE;44000;44109;FR032655;NANTES;37848724300024;15 rue du Landreau;NANTES;44109;44300;A;insee
COLLEGE DE GOULAINE;44115;44009;FR032629;BASSE GOULAINE;19442277000017;Rue du Général Leclerc;BASSE GOULAINE;44009;44115;A;insee
COLLEGE DIWAN;44800;44162;FR032653;SAINT HERBLAIN;50804800600029;12 avenue de l'Angevinière;SAINT HERBLAIN;44162;44800;A;insee
COLLEGE ERNEST RENAN;44800;44162;FR032658;SAINT HERBLAIN;19440311900010;10 rue de la Mayenne;SAINT HERBLAIN;44162;44800;F;insee
COLLEGE EXTERNAT DES ENFANTS NANTAIS;44000;44109;FR032656;NANTES;78602173300021;31 avenue Camus;NANTES;44109;44000;A;insee
COLLEGE FRANCOISE D'AMBOISE;44000;44109;FR032654;NANTES;78835366200026;11 rue Mondésir;NANTES;44109;44000;F;insee
COLLEGE GABRIEL GUIST'HAU;44000;44109;FR032659;NANTES;19441820800014;10 rue de Sévigné;NANTES;44109;44000;F;insee
COLLEGE GASTON SERPETTE;44000;44109;FR032583;NANTES;19440285500010;12 rue Dr Gustave Rappin;NANTES;44109;44000;A;insee
COLLEGE GERARD PHILIPE;44470;44026;FR032620;CARQUEFOU;19442029500017;7 rue Victor Hugo;CARQUEFOU;44026;44470;A;insee
COLLEGE GUTENBERG;44800;44162;FR032636;SAINT HERBLAIN;19441610300019;6 avenue de l'Angevinière;SAINT HERBLAIN;44162;44800;A;insee
COLLEGE HECTOR BERLIOZ;44000;44109;FR032637;NANTES;19440025500015;122 boulevard Robert Schuman;NANTES;44109;44300;A;insee
COLLEGE ILES DE LOIRE;44230;44190;FR032630;SAINT SEBASTIEN SUR LOIRE;19440291300017;1 avenue de Glinde;SAINT SEBASTIEN SUR LOIRE;44190;44230;A;insee
COLLEGE JEAN MONNET;44120;44215;FR032622;VERTOU;19440080000018;6 Allée de la Vigne de Pâques;VERTOU;44215;44120;F;insee
COLLEGE JEAN ROSTAND;44700;44114;FR032638;ORVAULT;19440055200015;6 avenue de la Jeunesse;ORVAULT;44114;44700;A;insee
COLLEGE LA COUTANCIERE;44240;44035;FR032611;CHAPELLE SUR ERDRE;19442011300012;Allée de la Coutancière;CHAPELLE SUR ERDRE;44035;44240;A;insee
COLLEGE LA DURANTIERE;44000;44109;FR032639;NANTES;19441608700014;17 rue Baptiste Marcet;NANTES;44109;44100;A;insee
COLLEGE LA NEUSTRIE;44340;44020;FR032640;BOUGUENAIS;19440316800017;Rue de la Neustrie;BOUGUENAIS;44020;44340;A;insee
COLLEGE LA NOE LAMBERT;44000;44109;FR032641;NANTES;19441545100013;42 boulevard des Poilus;NANTES;44109;44300;A;insee
COLLEGE LA PERVERIE;44000;44109;FR032642;NANTES;78601491000032;63 rue de la Perverie;NANTES;44109;44300;A;insee
COLLEGE LA REINETIERE;44980;44172;FR032621;SAINTE LUCE SUR LOIRE;19441724200014;Boulevard Louis Pasteur;SAINTE LUCE SUR LOIRE;44172;44980;A;insee
COLLEGE LE BON CONSEIL;44000;44109;FR032643;NANTES;33940141600047;16 rue Saint Jean Baptiste de la Salle;NANTES;44109;44000;A;insee
COLLEGE LE GRAND BEAUREGARD;44240;44035;FR032617;CHAPELLE SUR ERDRE;19441547700018;10 rue Léo Lagrange;CHAPELLE SUR ERDRE;44035;44240;A;insee
COLLEGE LE HERAULT;44800;44162;FR032644;SAINT HERBLAIN;19440287100017;1 avenue Alain Gerbault;SAINT HERBLAIN;44162;44800;A;insee
COLLEGE LES SABLES D'OR;44470;44204;FR032348;THOUARE SUR LOIRE;19442314100010;7 route de la Barre;THOUARE SUR LOIRE;44204;44470;A;insee
COLLEGE LUCIE AUBRAC;44120;44215;FR032623;VERTOU;20000545200012;20 boulevard Luc Dejoie;VERTOU;44215;44120;A;insee
COLLEGE NOTRE DAME DE L'ABBAYE;44000;44109;FR032646;NANTES;31318177800025;38 bis rue de l'Abbaye;NANTES;44109;44100;A;insee
COLLEGE PAUL LANGEVIN;44220;44047;FR032631;COUERON;19440010700018;10 boulevard Paul Langevin;COUERON;44047;44220;A;insee
COLLEGE PETITE LANDE;44400;44143;FR032647;REZE;19440065100015;105 rue Georges Berthomé;REZE;44143;44400;A;insee
COLLEGE PIERRE ET MARIE CURIE;44640;44120;FR032625;Le Pellerin;19441658200014;4 rue de l'Hermitage;Le Pellerin;44120;44640;A;insee
COLLEGE PONT ROUSSEAU;44400;44143;FR032648;REZE;19440064400010;3 rue Félix Tableau;REZE;44143;44400;A;insee
COLLEGE RENE BERNIER;44230;44190;FR032632;SAINT SEBASTIEN SUR LOIRE;19441548500011;60 rue de l'Ouche Quinet;SAINT SEBASTIEN SUR LOIRE;44190;44230;A;insee
COLLEGE ROSA PARKS (LE BREIL);44000;44109;FR032349;NANTES;19440309300017;91 boulevard Pierre de Coubertin;NANTES;44109;44100;F;insee
COLLEGE SAINT BLAISE;44120;44215;FR032626;VERTOU;78608847600050;12 Boulevard des sports;VERTOU;44215;44120;A;insee
COLLEGE SAINT DOMINIQUE;44800;44162;FR032649;SAINT HERBLAIN;78605526900017;103 avenue de Cheverny;SAINT HERBLAIN;44162;44800;A;insee
COLLEGE SAINT DONATIEN;44000;44109;FR032350;NANTES;78602056000029;6 rue Guillet de la Brosse;NANTES;44109;44000;F;insee
COLLEGE SAINT EXUPERY;44620;44101;FR032627;LA MONTAGNE;19440347300011;Rue Saint-Exupéry;LA MONTAGNE;44101;44620;A;insee
COLLEGE SAINT HERMELAND;44830;44018;FR032619;BOUAYE;78593224500034;8 rue de l'Ancienne Église;BOUAYE;44018;44830;A;insee
COLLEGE SAINT JACQUES DE COMPOSTELLE;44000;44109;FR032650;NANTES;78602076800044;11 rue Gabriel Goudy;NANTES;44109;44200;F;insee
COLLEGE SAINT PAUL;44400;44143;FR032662;REZE;78604169900087;66-68 rue Jean Jaurès;REZE;44143;44400;F;insee
COLLEGE SAINT RAPHAEL;44000;44109;FR032663;NANTES;50010821200019;136 rue Général Buat;NANTES;44109;44000;A;insee
COLLEGE SAINT STANISLAS;44000;44109;FR032664;NANTES;78601479500037;2 rue Saint-Stanislas;NANTES;44109;44000;A;insee
COLLEGE SAINT THEOPHANE VENARD;44000;44109;FR032665;NANTES;78602178200051;53-55 rue Chanoine Larose;NANTES;44109;44100;A;insee
COLLEGE SAINTE ANNE (CARQUEFOU);44470;44026;FR032666;CARQUEFOU;78821397300043;7 bis rue Jean XXIII;CARQUEFOU;44026;44470;A;insee
COLLEGE SAINTE ANNE (REZE);44400;44143;FR032667;REZE;31573546400028;11 rue Saint-Lupien;REZE;44143;44400;A;insee
COLLEGE SAINTE MADELEINE LA JOLIVERIE;44000;44109;FR032668;NANTES;41780707000020;10 quai Hoche;NANTES;44109;44300;A;insee
COLLEGE SAINTE PHILOMENE;44220;44047;FR032669;COUERON;78594804300035;31 rue Jean Jaurès;COUERON;44047;44220;A;insee
COLLEGE SALVADOR ALLENDE;44400;44143;FR032670;REZE;19440534600017;6 avenue Léon Blum;REZE;44143;44400;A;insee
COLLEGE SIMONE VEIL;44000;44109;FR032671;NANTES;20006714800011;25 rue des Colporteurs;NANTES;44109;44300;A;insee
COLLEGE SOPHIE GERMAIN;44000;44109;FR032672;NANTES;19440536100024;19 mail Pablo Picasso;NANTES;44109;44000;A;insee
COLLEGE STENDHAL;44000;44109;FR032673;NANTES;19440284800015;88 rue des Renards;NANTES;44109;44300;A;insee
COLLEGE VICTOR HUGO;44000;44109;FR032674;NANTES;19440045300016;40 rue de Bel air;NANTES;44109;44000;A;insee
LABORATOIRE NUMERIQUE;44000;44109;FR032351;NANTES;77560558700051;21 boulevard Gaston Doumergue;NANTES;44109;44000;F;insee
OPEN C;44000;44109;FR039757;NANTES;92339590900016;1 RUE DE LA NOË;NANTES;44109;44300;A;insee
LE GRAND CHALON - Site Le Grand Jardin;71100;71076;SF000528;CHALON SUR SAONE;24710058900099;1 rue stéphane Mallarmé;CHALON SUR SAONE;71076;71100;A;insee
Mairie du Breuil;71670;71059;SF000657;LE BREUIL;21710059300011;Place du 19 Mars 1962;LE BREUIL;71059;71670;A;insee
MAIRIE DU CREUSOT;71200;71153;SF000656;CREUSOT;21710153400014;Boulevard Henri Paul Schneider;CREUSOT;71153;71200;A;insee
VILLA PERRUSSON;71210;71187;SF000654;Ecuisses;21710187200018;1 Rue de la Gare;Ecuisses;71187;71210;A;insee
Office du Tourisme (Capitainerie);71300;71306;SF000653;MONTCEAU LES MINES;53237582100024;QUAI GENERAL DE GAULLE;MONTCEAU LES MINES;71306;71300;A;insee
Hotel de Ville de Vesoul;70000;70550;FO009366;VESOUL;21700550300016;58 Rue Paul Morel;VESOUL;70550;70000;A;insee
CENTRE DE REGULATION DES FEUX;63000;63113;SF000451;CLERMONT FERRAND;24630070100231;PLACE DES CARMES;CLERMONT FERRAND;63113;63000;A;insee
BNR-MEDIATHEQUE ARAGON;59210;59155;FR011019;COUDEKERQUE BRANCHE;21590155400067;3 RUE HENRI GHESQUIERE;COUDEKERQUE BRANCHE;59155;59210;A;insee
BNR-MEDIATHEQUE FREINET;59210;59155;FR011016;COUDEKERQUE BRANCHE;52114350300014;RUE ARAGO;COUDEKERQUE BRANCHE;59155;59210;F;insee
BNR-MEDIATHEQUE MARCEL PAGNOL;59279;59359;FR011315;LOON PLAGE;21590359200081;60 RUE GEORGES POMPIDOU;LOON PLAGE;59359;59279;A;insee
BNR-MEDIATHEQUE CENTRE JEAN COCTEAU;59430;59183;FR011649;DUNKERQUE;21590540700015;Boulevard de l'Aurore;DUNKERQUE;59183;59140;A;insee
BNR-MEDIATHEQUE LE PETIT PRINCE;59380;59016;FR010786;ARMBOUTS CAPPEL;21590016800018;SQUARE JACQUES PREVERT;ARMBOUTS CAPPEL;59016;59380;A;insee
